Source,Target,Value
"""Brown, Nicholas""","""Department of Energy and Climate Change""",4
"""Brown, Nicholas""","""Department of Health""",24
"""Brown, Nicholas""","""Foreign and Commonwealth Office""",6
"""Brown, Nicholas""","""Home Office""",10
"""Brown, Nicholas""","""Ministry of Defence""",2
"""Brown, Nicholas""","""Ministry of Justice""",2
"""Brown, Nicholas""","""Speaker's Committee on the Electoral Commission""",1
"""Brown, Nicholas""","""Treasury""",12
"""Bruce, Fiona""","""Attorney General""",2
"""Bruce, Fiona""","""Cabinet Office; UK Statistics Authority""",1
"""Bruce, Fiona""","""Communities and Local Government""",5
"""Bruce, Fiona""","""Department for Business, Innovation and Skills""",10
"""Bruce, Fiona""","""Department for Culture, Media and Sport""",7
"""Bruce, Fiona""","""Department for Education""",11
"""Bruce, Fiona""","""Department for Environment, Food and Rural Affairs""",1
"""Bruce, Fiona""","""Department for International Development""",9
"""Bruce, Fiona""","""Department for Transport""",3
"""Bruce, Fiona""","""Department for Work and Pensions""",1
"""Bruce, Fiona""","""Department of Health""",54
"""Bruce, Fiona""","""Foreign and Commonwealth Office""",27
"""Bruce, Fiona""","""Home Office""",21
"""Bruce, Fiona""","""Ministry of Defence""",1
"""Bruce, Fiona""","""Ministry of Justice""",1
"""Bruce, Fiona""","""Treasury""",1
"""Bryant, Chris""","""Cabinet Office""",6
"""Bryant, Chris""","""Communities and Local Government""",1
"""Bryant, Chris""","""Department for Business, Innovation and Skills""",5
"""Bryant, Chris""","""Department for Culture, Media and Sport""",112
"""Bryant, Chris""","""Foreign and Commonwealth Office""",1
"""Bryant, Chris""","""House of Commons Commission""",1
"""Bryant, Chris""","""Prime Minister""",5
"""Bryant, Chris""","""Treasury""",8
"""Buck, Karen""","""Cabinet Office""",1
"""Buck, Karen""","""Communities and Local Government""",16
"""Buck, Karen""","""Department for Education""",8
"""Buck, Karen""","""Department for Work and Pensions""",20
"""Buck, Karen""","""Department of Health""",6
"""Buck, Karen""","""Ministry of Justice""",5
"""Buck, Karen""","""Treasury""",3
"""Burden, Richard""","""Cabinet Office""",11
"""Burden, Richard""","""Communities and Local Government""",8
"""Burden, Richard""","""Department for Business, Innovation and Skills""",18
"""Burden, Richard""","""Department for Culture, Media and Sport""",3
"""Burden, Richard""","""Department for Education""",7
"""Burden, Richard""","""Department for Environment, Food and Rural Affairs""",8
"""Burden, Richard""","""Department for International Development""",16
"""Burden, Richard""","""Department for Transport""",177
"""Burden, Richard""","""Department for Work and Pensions""",1
"""Burden, Richard""","""Department of Energy and Climate Change""",3
"""Burden, Richard""","""Department of Health""",14
"""Burden, Richard""","""Foreign and Commonwealth Office""",26
"""Burden, Richard""","""Home Office""",17
"""Burden, Richard""","""Ministry of Justice""",6
"""Burden, Richard""","""Prime Minister""",2
"""Burden, Richard""","""Treasury""",18
"""Burden, Richard; Burgon, Richard""","""Treasury""",1
"""Burgon, Richard""","""Department for Culture, Media and Sport""",2
"""Burgon, Richard""","""Department for International Development""",1
"""Burgon, Richard""","""Department of Health""",2
"""Burgon, Richard""","""Home Office""",3
"""Burgon, Richard""","""Ministry of Defence""",7
"""Burgon, Richard""","""Treasury""",27
"""Burnham, Andy""","""Department of Health""",1
"""Burnham, Andy""","""Home Office""",7
"""Burns, Simon""","""Cabinet Office""",1
"""Burns, Simon""","""Department for Culture, Media and Sport""",1
"""Burns, Simon""","""Ministry of Justice""",1
"""Burrowes, David""","""Attorney General""",1
"""Burrowes, David""","""Cabinet Office""",1
"""Burrowes, David""","""Communities and Local Government""",4
"""Burrowes, David""","""Department for Business, Innovation and Skills""",11
"""Burrowes, David""","""Department for Culture, Media and Sport""",2
"""Burrowes, David""","""Department for Education""",8
"""Burrowes, David""","""Department for Environment, Food and Rural Affairs""",1
"""Burrowes, David""","""Department for International Development""",3
"""Burrowes, David""","""Department for Transport""",1
"""Burrowes, David""","""Department for Work and Pensions""",8
"""Burrowes, David""","""Department of Energy and Climate Change""",1
"""Burrowes, David""","""Department of Health""",5
"""Burrowes, David""","""Foreign and Commonwealth Office""",9
"""Burrowes, David""","""Home Office""",14
"""Burrowes, David""","""Home Office; Department for Business, Innovation and Skills""",1
"""Burrowes, David""","""Ministry of Defence""",1
"""Burrowes, David""","""Ministry of Justice""",9
"""Burrowes, David""","""Northern Ireland Office""",1
"""Burrowes, David""","""Prime Minister""",1
"""Burrowes, David""","""Treasury""",3
"""Butler, Dawn""","""Communities and Local Government""",2
"""Butler, Dawn""","""Department for Business, Innovation and Skills""",2
"""Butler, Dawn""","""Department for Education""",1
"""Butler, Dawn""","""Department for Environment, Food and Rural Affairs""",4
"""Butler, Dawn""","""Department for International Development""",2
"""Butler, Dawn""","""Department for Transport""",2
"""Butler, Dawn""","""Department for Work and Pensions""",3
"""Butler, Dawn""","""Department of Energy and Climate Change""",3
"""Butler, Dawn""","""Department of Health""",5
"""Butler, Dawn""","""Foreign and Commonwealth Office""",6
"""Butler, Dawn""","""Home Office""",2
"""Butler, Dawn""","""Minister for Women and Equalities""",1
"""Butler, Dawn""","""Ministry of Justice""",3
"""Butler, Dawn""","""Treasury""",1
"""Byrne, Liam""","""Cabinet Office""",6
"""Byrne, Liam""","""Communities and Local Government""",4
"""Byrne, Liam""","""Department for Business, Innovation and Skills""",13
"""Byrne, Liam""","""Department for Education""",6
"""Byrne, Liam""","""Department for Transport""",4
"""Byrne, Liam""","""Department for Work and Pensions""",1
"""Byrne, Liam""","""Department of Health""",22
"""Byrne, Liam""","""Foreign and Commonwealth Office""",8
"""Byrne, Liam""","""Home Office""",12
"""Byrne, Liam""","""Minister for Women and Equalities""",1
"""Byrne, Liam""","""Ministry of Justice""",3
"""Cadbury, Ruth""","""Attorney General""",1
"""Cadbury, Ruth""","""Communities and Local Government""",3
"""Cadbury, Ruth""","""Department for Culture, Media and Sport""",1
"""Cadbury, Ruth""","""Department for Education""",4
"""Cadbury, Ruth""","""Department for Environment, Food and Rural Affairs""",2
"""Cadbury, Ruth""","""Department for Transport""",31
"""Cadbury, Ruth""","""Department for Work and Pensions""",1
"""Cadbury, Ruth""","""Department of Energy and Climate Change""",1
"""Cadbury, Ruth""","""Department of Health""",7
"""Cadbury, Ruth""","""Home Office""",6
"""Cadbury, Ruth""","""Ministry of Justice""",1
"""Cadbury, Ruth""","""Scotland Office""",1
"""Cadbury, Ruth""","""Treasury""",1
"""Cameron, Lisa""","""Cabinet Office""",1
"""Cameron, Lisa""","""Department for Business, Innovation and Skills""",1
"""Cameron, Lisa""","""Department for Culture, Media and Sport""",2
"""Cameron, Lisa""","""Department for Education""",5
"""Cameron, Lisa""","""Department for Environment, Food and Rural Affairs""",3
"""Cameron, Lisa""","""Department for International Development""",6
"""Cameron, Lisa""","""Department for Work and Pensions""",7
"""Cameron, Lisa""","""Department of Health""",12
"""Cameron, Lisa""","""Foreign and Commonwealth Office""",2
"""Cameron, Lisa""","""Home Office""",1
"""Cameron, Lisa""","""Ministry of Defence""",2
"""Cameron, Lisa""","""Ministry of Justice""",2
"""Cameron, Lisa""","""Treasury""",4
"""Campbell, Alan""","""Cabinet Office""",1
"""Campbell, Alan""","""Department for Environment, Food and Rural Affairs""",2
"""Campbell, Alan""","""Department of Health""",4
"""Campbell, Gregory""","""Cabinet Office""",5
"""Campbell, Gregory""","""Cabinet Office; UK Statistics Authority""",6
"""Campbell, Gregory""","""Communities and Local Government""",3
"""Campbell, Gregory""","""Department for Business, Innovation and Skills""",10
"""Campbell, Gregory""","""Department for Culture, Media and Sport""",14
"""Campbell, Gregory""","""Department for Environment, Food and Rural Affairs""",12
"""Campbell, Gregory""","""Department for International Development""",14
"""Campbell, Gregory""","""Department for Transport""",11
"""Campbell, Gregory""","""Department for Work and Pensions""",8
"""Campbell, Gregory""","""Department of Energy and Climate Change""",6
"""Campbell, Gregory""","""Department of Health""",30
"""Campbell, Gregory""","""Foreign and Commonwealth Office""",18
"""Campbell, Gregory""","""Home Office""",19
"""Campbell, Gregory""","""Leader of the House of Commons""",2
"""Campbell, Gregory""","""Ministry of Defence""",13
"""Campbell, Gregory""","""Ministry of Justice""",6
"""Campbell, Gregory""","""Northern Ireland Office""",11
"""Campbell, Gregory""","""Northern Ireland Office; Home Office""",1
"""Campbell, Gregory""","""Prime Minister""",1
"""Campbell, Gregory""","""Treasury""",50
"""Carmichael, Alistair""","""Attorney General""",1
"""Carmichael, Alistair""","""Communities and Local Government""",1
"""Carmichael, Alistair""","""Department for Business, Innovation and Skills""",3
"""Carmichael, Alistair""","""Department for Culture, Media and Sport""",2
"""Carmichael, Alistair""","""Department for Environment, Food and Rural Affairs""",1
"""Carmichael, Alistair""","""Department for International Development""",1
"""Carmichael, Alistair""","""Department for Transport""",3
"""Carmichael, Alistair""","""Department for Work and Pensions""",1
"""Carmichael, Alistair""","""Department of Energy and Climate Change""",4
"""Carmichael, Alistair""","""Foreign and Commonwealth Office""",6
"""Carmichael, Alistair""","""Home Office""",26
"""Carmichael, Alistair""","""Minister for Women and Equalities""",3
"""Carmichael, Alistair""","""Ministry of Justice""",3
"""Carmichael, Alistair""","""Scotland Office""",1
"""Carmichael, Alistair""","""Treasury""",5
"""Carmichael, Neil""","""Communities and Local Government""",1
"""Carmichael, Neil""","""Department for Culture, Media and Sport""",1
"""Carmichael, Neil""","""Department for Transport""",1
"""Carmichael, Neil""","""Department for Work and Pensions""",1
"""Carmichael, Neil""","""Department of Health""",2
"""Carmichael, Neil""","""Home Office""",1
"""Carmichael, Neil""","""Northern Ireland Office""",1
"""Carmichael, Neil""","""Scotland Office""",1
"""Carmichael, Neil""","""Treasury""",1
"""Carswell, Douglas""","""Attorney General""",2
"""Carswell, Douglas""","""Cabinet Office""",1
"""Carswell, Douglas""","""Communities and Local Government""",11
"""Carswell, Douglas""","""Department for Business, Innovation and Skills""",3
"""Carswell, Douglas""","""Department for Culture, Media and Sport""",5
"""Carswell, Douglas""","""Department for Education""",5
"""Carswell, Douglas""","""Department for Environment, Food and Rural Affairs""",9
"""Carswell, Douglas""","""Department for International Development""",11
"""Carswell, Douglas""","""Department for Transport""",8
"""Carswell, Douglas""","""Department for Work and Pensions""",6
"""Carswell, Douglas""","""Department of Energy and Climate Change""",4
"""Carswell, Douglas""","""Department of Health""",11
"""Carswell, Douglas""","""Foreign and Commonwealth Office""",7
"""Carswell, Douglas""","""Home Office""",24
"""Carswell, Douglas""","""Leader of the House of Commons""",1
"""Carswell, Douglas""","""Minister for Women and Equalities""",1
"""Carswell, Douglas""","""Ministry of Defence""",10
"""Carswell, Douglas""","""Ministry of Justice""",12
"""Carswell, Douglas""","""Northern Ireland Office""",2
"""Carswell, Douglas""","""Prime Minister""",1
"""Carswell, Douglas""","""Scotland Office""",1
"""Carswell, Douglas""","""Speaker's Committee on the Electoral Commission""",1
"""Carswell, Douglas""","""Treasury""",22
"""Carswell, Douglas""","""Wales Office""",1
"""Cartlidge, James""","""Communities and Local Government""",3
"""Cartlidge, James""","""Department for Business, Innovation and Skills""",2
"""Cartlidge, James""","""Department for Culture, Media and Sport""",3
"""Cartlidge, James""","""Department for Education""",1
"""Cartlidge, James""","""Department for Environment, Food and Rural Affairs""",8
"""Cartlidge, James""","""Department for Transport""",5
"""Cartlidge, James""","""Department for Work and Pensions""",1
"""Cartlidge, James""","""Department of Health""",3
"""Cartlidge, James""","""Foreign and Commonwealth Office""",1
"""Cartlidge, James""","""Home Office""",2
"""Cartlidge, James""","""Treasury""",6
"""Cash, William""","""Department for International Development""",1
"""Cash, William""","""Department for Transport""",1
"""Cash, William""","""Department for Work and Pensions""",1
"""Caulfield, Maria""","""Communities and Local Government""",6
"""Caulfield, Maria""","""Department for Culture, Media and Sport""",1
"""Caulfield, Maria""","""Department for Education""",5
"""Caulfield, Maria""","""Department for Transport""",3
"""Caulfield, Maria""","""Department of Health""",18
"""Caulfield, Maria""","""Foreign and Commonwealth Office""",5
"""Caulfield, Maria""","""Minister for Women and Equalities""",1
"""Caulfield, Maria""","""Ministry of Justice""",1
"""Chalk, Alex""","""Department for Culture, Media and Sport""",1
